Human_date,Channel,kwh,db_date,
2/9/2019 6:00,10,1.053,2019-02-09 06:00:00,
2/9/2019 7:00,10,1.106,2019-02-09 07:00:00,
2/9/2019 8:00,10,1.321,2019-02-09 08:00:00,
2/9/2019 9:00,10,2.028,2019-02-09 09:00:00,
2/9/2019 10:00,10,1.316,2019-02-09 10:00:00,
2/9/2019 11:00,10,0.894,2019-02-09 11:00:00,
2/9/2019 12:00,10,1.019,2019-02-09 12:00:00,
2/9/2019 13:00,10,0.701,2019-02-09 13:00:00,
2/9/2019 14:00,10,0.682,2019-02-09 14:00:00,
2/9/2019 15:00,10,0.974,2019-02-09 15:00:00,
2/9/2019 16:00,10,2.043,2019-02-09 16:00:00,
2/9/2019 17:00,10,2.201,2019-02-09 17:00:00,
2/9/2019 18:00,10,2.426,2019-02-09 18:00:00,
2/9/2019 19:00,10,2.589,2019-02-09 19:00:00,
2/9/2019 20:00,10,2.745,2019-02-09 20:00:00,
2/9/2019 21:00,10,2.643,2019-02-09 21:00:00,
2/9/2019 22:00,10,1.124,2019-02-09 22:00:00,
2/9/2019 23:00,10,1.2,2019-02-09 23:00:00,
2/10/2019 0:00,10,0.842,2019-02-10 00:00:00,
2/10/2019 1:00,10,0.768,2019-02-10 01:00:00,
2/10/2019 2:00,10,0.654,2019-02-10 02:00:00,
2/10/2019 3:00,10,0.738,2019-02-10 03:00:00,
2/10/2019 4:00,10,0.844,2019-02-10 04:00:00,
2/10/2019 5:00,10,0.757,2019-02-10 05:00:00,
2/10/2019 6:00,10,0.851,2019-02-10 06:00:00,
2/10/2019 7:00,10,0.791,2019-02-10 07:00:00,
2/10/2019 8:00,10,1.069,2019-02-10 08:00:00,
2/10/2019 9:00,10,3.042,2019-02-10 09:00:00,
2/10/2019 10:00,10,3.75,2019-02-10 10:00:00,
2/10/2019 11:00,10,1.86,2019-02-10 11:00:00,
2/10/2019 12:00,10,2.74,2019-02-10 12:00:00,
2/10/2019 13:00,10,3.371,2019-02-10 13:00:00,
2/10/2019 14:00,10,3.625,2019-02-10 14:00:00,
2/10/2019 15:00,10,3.695,2019-02-10 15:00:00,
2/10/2019 16:00,10,3.301,2019-02-10 16:00:00,
2/10/2019 17:00,10,2.92,2019-02-10 17:00:00,
2/10/2019 18:00,10,5.448,2019-02-10 18:00:00,
2/10/2019 19:00,10,1.267,2019-02-10 19:00:00,
2/10/2019 20:00,10,5.055,2019-02-10 20:00:00,
2/10/2019 21:00,10,4.934,2019-02-10 21:00:00,
2/10/2019 22:00,10,1.627,2019-02-10 22:00:00,
2/10/2019 23:00,10,1.124,2019-02-10 23:00:00,
2/11/2019 0:00,10,0.805,2019-02-11 00:00:00,
2/11/2019 1:00,10,0.872,2019-02-11 01:00:00,
2/11/2019 2:00,10,0.852,2019-02-11 02:00:00,
2/11/2019 3:00,10,0.848,2019-02-11 03:00:00,
2/11/2019 4:00,10,0.953,2019-02-11 04:00:00,
2/11/2019 5:00,10,0.948,2019-02-11 05:00:00,
2/11/2019 6:00,10,1.156,2019-02-11 06:00:00,
2/11/2019 7:00,10,1.011,2019-02-11 07:00:00,
2/11/2019 8:00,10,1.585,2019-02-11 08:00:00,
2/11/2019 9:00,10,0.87,2019-02-11 09:00:00,
2/11/2019 10:00,10,0.491,2019-02-11 10:00:00,
2/11/2019 11:00,10,0.449,2019-02-11 11:00:00,
2/11/2019 12:00,10,0.386,2019-02-11 12:00:00,
2/11/2019 13:00,10,0.7,2019-02-11 13:00:00,
2/11/2019 14:00,10,0.662,2019-02-11 14:00:00,
2/11/2019 15:00,10,0.753,2019-02-11 15:00:00,
2/11/2019 16:00,10,0.784,2019-02-11 16:00:00,
2/11/2019 17:00,10,0.825,2019-02-11 17:00:00,
2/11/2019 18:00,10,1.053,2019-02-11 18:00:00,
2/11/2019 19:00,10,1.133,2019-02-11 19:00:00,
2/11/2019 20:00,10,1.352,2019-02-11 20:00:00,
2/11/2019 21:00,10,1.577,2019-02-11 21:00:00,
2/11/2019 22:00,10,0.953,2019-02-11 22:00:00,
2/11/2019 23:00,10,0.982,2019-02-11 23:00:00,
2/12/2019 0:00,10,1.451,2019-02-12 00:00:00,
2/12/2019 1:00,10,0.979,2019-02-12 01:00:00,
2/12/2019 2:00,10,0.713,2019-02-12 02:00:00,
2/12/2019 3:00,10,0.757,2019-02-12 03:00:00,
2/12/2019 4:00,10,0.731,2019-02-12 04:00:00,
2/12/2019 5:00,10,0.822,2019-02-12 05:00:00,
2/12/2019 6:00,10,0.72,2019-02-12 06:00:00,
2/12/2019 7:00,10,1.52,2019-02-12 07:00:00,
2/12/2019 8:00,10,2.183,2019-02-12 08:00:00,
2/12/2019 9:00,10,2.017,2019-02-12 09:00:00,
2/12/2019 10:00,10,1.845,2019-02-12 10:00:00,
2/12/2019 11:00,10,1.835,2019-02-12 11:00:00,
2/12/2019 12:00,10,2.002,2019-02-12 12:00:00,
2/12/2019 13:00,10,2.033,2019-02-12 13:00:00,
2/12/2019 14:00,10,2.132,2019-02-12 14:00:00,
2/12/2019 15:00,10,1.98,2019-02-12 15:00:00,
2/12/2019 16:00,10,1.125,2019-02-12 16:00:00,
2/12/2019 17:00,10,1.118,2019-02-12 17:00:00,
2/12/2019 18:00,10,1.318,2019-02-12 18:00:00,
